command,mean,stddev,median,user,system,min,max,parameter_n
./benches/out/sync_param.kk.out 10,0.011610637230000002,0.0012610503516136179,0.01131128598,0.001258118,0.0050779499999999995,0.009450210980000002,0.014623707980000001,10
./benches/out/sync_ref.kk.out 10,0.011642420930000001,0.0018151860453919687,0.01175531848,0.0014890020000000001,0.004958299999999999,0.00795222398,0.01581620398,10
./benches/out/sync_state.kk.out 10,0.01337121878,0.001567794814521594,0.01293547098,0.0014107239999999997,0.0061064000000000005,0.01106374198,0.01648988498,10
./benches/out/sync_param.kk.out 11,0.01256075403,0.0018542685812701254,0.012269263480000002,0.0012353239999999999,0.0057622,0.008186681979999999,0.01750168298,11
./benches/out/sync_ref.kk.out 11,0.012371332280000001,0.0009821855598306796,0.01224172148,0.001082402,0.00597685,0.01111464198,0.01472379998,11
./benches/out/sync_state.kk.out 11,0.012993363530000001,0.0010931228363661159,0.012738407980000001,0.0018413180000000002,0.005662000000000002,0.01126764898,0.01535989598,11
./benches/out/sync_param.kk.out 12,0.012982557830000001,0.0012265230886012392,0.012695559980000002,0.0018032900000000001,0.00566575,0.01081907898,0.01550481998,12
./benches/out/sync_ref.kk.out 12,0.013589763129999998,0.0016330242495988289,0.01380322048,0.00256949,0.00550395,0.00944217998,0.01637370498,12
./benches/out/sync_state.kk.out 12,0.015059903280000004,0.0015286714070354337,0.01468853598,0.0030010899999999997,0.0062861,0.013491981980000001,0.01907423498,12
./benches/out/sync_param.kk.out 13,0.01607647093,0.0013245696515660225,0.01646961648,0.0038063400000000005,0.006604949999999998,0.01365826798,0.01888995698,13
./benches/out/sync_ref.kk.out 13,0.015560196080000002,0.0014768828709149863,0.01571501998,0.0043260400000000015,0.005806199999999999,0.012874705980000001,0.01859023398,13
./benches/out/sync_state.kk.out 13,0.01687878973,0.0010770772792817302,0.01691203648,0.00561124,0.005766249999999999,0.01487667098,0.01871579298,13
./benches/out/sync_param.kk.out 14,0.019893755730000004,0.00212912013911336,0.01984198598,0.00800854,0.0062585,0.01483665298,0.024912651980000002,14
./benches/out/sync_ref.kk.out 14,0.02073332783,0.002090157998849729,0.02120857348,0.007874139999999998,0.0073922,0.015620081979999999,0.023759286980000002,14
./benches/out/sync_state.kk.out 14,0.023471976029999998,0.002513802616624746,0.02331798048,0.010853189999999997,0.007113899999999998,0.01845159098,0.03043947898,14
./benches/out/sync_param.kk.out 15,0.03107461408,0.0037538028872818115,0.031427389480000005,0.01891944,0.006548999999999999,0.02433837798,0.03759380398000001,15
./benches/out/sync_ref.kk.out 15,0.03184780108,0.004111047029754817,0.03151038698,0.01763974,0.00855335,0.02481585498,0.040220935980000004,15
./benches/out/sync_state.kk.out 15,0.03541283413,0.0020203992088683163,0.03516717098000001,0.021607739999999993,0.00796295,0.030742320979999998,0.038832535980000006,15
./benches/out/sync_param.kk.out 16,0.05182497413,0.003366861492849,0.05260818348,0.03883373999999999,0.00734695,0.04632834098000001,0.05702725798000001,16
./benches/out/sync_ref.kk.out 16,0.05679036188000001,0.005428425954300602,0.05689265048,0.04164024,0.0094554,0.046585320980000004,0.06799648598000001,16
./benches/out/sync_state.kk.out 16,0.06269985388,0.005614402729888108,0.06186814498000001,0.04714874000000001,0.00966535,0.055420838980000005,0.07672451698,16
