command,mean,stddev,median,user,system,min,max,parameter_n
./benches/out/session_1.kk.out 10,0.00886033913,0.0011458214512366806,0.00894787864,0.0005374367999999999,0.0032688188000000013,0.00619665514,0.012500356140000002,10
./benches/out/session_2.kk.out 10,0.008253253870000001,0.0013093338601704787,0.007970850140000003,0.0007613663999999998,0.0025601783999999995,0.00522509014,0.01565128514,10
./benches/out/session_3.kk.out 10,0.00911195328,0.0019501277729789962,0.008879849140000002,0.0007199221999999999,0.0029687187999999994,0.00581399314,0.01721950914,10
./benches/out/session_4.kk.out 10,0.008951565509999999,0.0009789175204974123,0.00894553314,0.0007454048000000002,0.0031644988,0.00675946014,0.011338056140000002,10
